ANO,REGIÃO,ESTADO,VALOR REVENDA (R$/L)
2004,CENTRO OESTE,DISTRITO FEDERAL,2.1246764705882355
2004,CENTRO OESTE,GOIAS,2.1588823529411765
2004,CENTRO OESTE,MATO GROSSO,2.541264705882353
2004,CENTRO OESTE,MATO GROSSO DO SUL,2.329205882352941
2004,NORDESTE,ALAGOAS,2.235294117647059
2004,NORDESTE,BAHIA,2.2241470588235295
2004,NORDESTE,CEARA,2.2836176470588234
2004,NORDESTE,MARANHAO,2.1778823529411766
2004,NORDESTE,PARAIBA,2.1083823529411765
2004,NORDESTE,PERNAMBUCO,2.1515882352941174
2004,NORDESTE,PIAUI,2.235205882352941
2004,NORDESTE,RIO GRANDE DO NORTE,2.140911764705882
2004,NORDESTE,SERGIPE,2.1216764705882354
2004,NORTE,ACRE,2.5318529411764708
2004,NORTE,AMAPA,2.3851764705882355
2004,NORTE,AMAZONAS,2.2516764705882353
2004,NORTE,PARA,2.4083235294117644
2004,NORTE,RONDONIA,2.4554117647058824
2004,NORTE,RORAIMA,2.1498823529411766
2004,NORTE,TOCANTINS,2.2750882352941173
2004,SUDESTE,ESPIRITO SANTO,2.168794117647059
2004,SUDESTE,MINAS GERAIS,2.1161764705882353
2004,SUDESTE,RIO DE JANEIRO,2.1755
2004,SUDESTE,SAO PAULO,2.047294117647059
2004,SUL,PARANA,2.1298235294117647
2004,SUL,RIO GRANDE DO SUL,2.2963235294117648
2004,SUL,SANTA CATARINA,2.225088235294118
2005,CENTRO OESTE,DISTRITO FEDERAL,2.32886
2005,CENTRO OESTE,GOIAS,2.3531
2005,CENTRO OESTE,MATO GROSSO,2.74786
2005,CENTRO OESTE,MATO GROSSO DO SUL,2.56168
2005,NORDESTE,ALAGOAS,2.55712
2005,NORDESTE,BAHIA,2.37584
2005,NORDESTE,CEARA,2.44262
2005,NORDESTE,MARANHAO,2.35148
2005,NORDESTE,PARAIBA,2.34288
2005,NORDESTE,PERNAMBUCO,2.3684
2005,NORDESTE,PIAUI,2.42994
2005,NORDESTE,RIO GRANDE DO NORTE,2.33786
2005,NORDESTE,SERGIPE,2.32436
2005,NORTE,ACRE,2.6606599999999996
2005,NORTE,AMAPA,2.4572857142857143
2005,NORTE,AMAZONAS,2.5699
2005,NORTE,PARA,2.46326
2005,NORTE,RONDONIA,2.5722000000000005
2005,NORTE,RORAIMA,2.56298
2005,NORTE,TOCANTINS,2.50586
2005,SUDESTE,ESPIRITO SANTO,2.36018
2005,SUDESTE,MINAS GERAIS,2.2582400000000002
2005,SUDESTE,RIO DE JANEIRO,2.3394999999999997
2005,SUDESTE,SAO PAULO,2.2329
2005,SUL,PARANA,2.29188
2005,SUL,RIO GRANDE DO SUL,2.57508
2005,SUL,SANTA CATARINA,2.42676
2006,CENTRO OESTE,DISTRITO FEDERAL,2.5962115384615383
2006,CENTRO OESTE,GOIAS,2.5773653846153843
2006,CENTRO OESTE,MATO GROSSO,2.952557692307692
2006,CENTRO OESTE,MATO GROSSO DO SUL,2.7557115384615383
2006,NORDESTE,ALAGOAS,2.8028846153846154
2006,NORDESTE,BAHIA,2.6436346153846153
2006,NORDESTE,CEARA,2.6981346153846153
2006,NORDESTE,MARANHAO,2.7357307692307695
2006,NORDESTE,PARAIBA,2.5911538461538464
2006,NORDESTE,PERNAMBUCO,2.640423076923077
2006,NORDESTE,PIAUI,2.5148076923076923
2006,NORDESTE,RIO GRANDE DO NORTE,2.6258076923076925
2006,NORDESTE,SERGIPE,2.548326923076923
2006,NORTE,ACRE,2.9447115384615383
2006,NORTE,AMAPA,2.5840769230769234
2006,NORTE,AMAZONAS,2.562269230769231
2006,NORTE,PARA,2.661192307692308
2006,NORTE,RONDONIA,2.7309423076923074
2006,NORTE,RORAIMA,2.85725
2006,NORTE,TOCANTINS,2.7513653846153847
2006,SUDESTE,ESPIRITO SANTO,2.6254423076923077
2006,SUDESTE,MINAS GERAIS,2.488403846153846
2006,SUDESTE,RIO DE JANEIRO,2.5613653846153848
2006,SUDESTE,SAO PAULO,2.443
2006,SUL,PARANA,2.5015384615384617
2006,SUL,RIO GRANDE DO SUL,2.724096153846154
2006,SUL,SANTA CATARINA,2.573769230769231
2007,CENTRO OESTE,DISTRITO FEDERAL,2.572423076923077
2007,CENTRO OESTE,GOIAS,2.523019230769231
