MES_ANO,ESTADO,VALOR REVENDA (R$/L)
2004-05,ACRE,2.4213333333333336
2004-05,ALAGOAS,2.0893333333333333
2004-05,AMAPA,2.215
2004-05,AMAZONAS,2.0453333333333332
2004-05,BAHIA,2.0433333333333334
2004-05,CEARA,2.1473333333333335
2004-05,DISTRITO FEDERAL,2.026
2004-05,ESPIRITO SANTO,2.0196666666666663
2004-05,GOIAS,2.026666666666667
2004-05,MARANHAO,2.0753333333333335
2004-05,MATO GROSSO,2.3573333333333335
2004-05,MATO GROSSO DO SUL,2.116
2004-05,MINAS GERAIS,1.9796666666666667
2004-05,PARA,2.3296666666666668
2004-05,PARAIBA,1.9886666666666668
2004-05,PARANA,1.9633333333333336
2004-05,PERNAMBUCO,1.9956666666666667
2004-05,PIAUI,2.099
2004-05,RIO DE JANEIRO,2.042333333333333
2004-05,RIO GRANDE DO NORTE,1.973
2004-05,RIO GRANDE DO SUL,2.1346666666666665
2004-05,RONDONIA,2.3336666666666663
2004-05,RORAIMA,1.995
2004-05,SANTA CATARINA,2.0673333333333335
2004-05,SAO PAULO,1.891
2004-05,SERGIPE,1.968
2004-05,TOCANTINS,2.093666666666667
2004-06,ACRE,2.4602
2004-06,ALAGOAS,2.1472
2004-06,AMAPA,2.3624
2004-06,AMAZONAS,2.1078
2004-06,BAHIA,2.1248
2004-06,CEARA,2.21
2004-06,DISTRITO FEDERAL,2.0678
2004-06,ESPIRITO SANTO,2.0902000000000003
2004-06,GOIAS,2.065
2004-06,MARANHAO,2.1294
2004-06,MATO GROSSO,2.4292000000000002
2004-06,MATO GROSSO DO SUL,2.1870000000000003
2004-06,MINAS GERAIS,2.0476
2004-06,PARA,2.387
2004-06,PARAIBA,2.0442
2004-06,PARANA,2.0572000000000004
2004-06,PERNAMBUCO,2.0456
2004-06,PIAUI,2.1566
2004-06,RIO DE JANEIRO,2.1008
2004-06,RIO GRANDE DO NORTE,2.0458
2004-06,RIO GRANDE DO SUL,2.2288
2004-06,RONDONIA,2.3853999999999997
2004-06,RORAIMA,2.0302
2004-06,SANTA CATARINA,2.1348
2004-06,SAO PAULO,1.9716
2004-06,SERGIPE,2.0318
2004-06,TOCANTINS,2.1546
2004-07,ACRE,2.5302499999999997
2004-07,ALAGOAS,2.20875
2004-07,AMAPA,2.40625
2004-07,AMAZONAS,2.19475
2004-07,BAHIA,2.21175
2004-07,CEARA,2.25875
2004-07,DISTRITO FEDERAL,2.02875
2004-07,ESPIRITO SANTO,2.1405
2004-07,GOIAS,2.09125
2004-07,MARANHAO,2.1875
2004-07,MATO GROSSO,2.51325
2004-07,MATO GROSSO DO SUL,2.26675
2004-07,MINAS GERAIS,2.10275
2004-07,PARA,2.42225
2004-07,PARAIBA,2.08375
2004-07,PARANA,2.10025
2004-07,PERNAMBUCO,2.098
2004-07,PIAUI,2.2065
2004-07,RIO DE JANEIRO,2.15325
2004-07,RIO GRANDE DO NORTE,2.10975
2004-07,RIO GRANDE DO SUL,2.278
2004-07,RONDONIA,2.4575
2004-07,RORAIMA,2.09675
2004-07,SANTA CATARINA,2.1865
2004-07,SAO PAULO,2.03
2004-07,SERGIPE,2.1027500000000003
2004-07,TOCANTINS,2.2175000000000002
2004-08,ACRE,2.5455
2004-08,ALAGOAS,2.21325
2004-08,AMAPA,2.3965
2004-08,AMAZONAS,2.219
2004-08,BAHIA,2.2215
2004-08,CEARA,2.285
2004-08,DISTRITO FEDERAL,2.1305
2004-08,ESPIRITO SANTO,2.128
2004-08,GOIAS,2.13525
2004-08,MARANHAO,2.18225
2004-08,MATO GROSSO,2.53975
2004-08,MATO GROSSO DO SUL,2.31
2004-08,MINAS GERAIS,2.1215
2004-08,PARA,2.42125
2004-08,PARAIBA,2.0852500000000003
2004-08,PARANA,2.14975
2004-08,PERNAMBUCO,2.1295
2004-08,PIAUI,2.208
2004-08,RIO DE JANEIRO,2.17225
2004-08,RIO GRANDE DO NORTE,2.107
2004-08,RIO GRANDE DO SUL,2.28625
2004-08,RONDONIA,2.46625
2004-08,RORAIMA,2.126
2004-08,SANTA CATARINA,2.20075
2004-08,SAO PAULO,2.03375
2004-08,SERGIPE,2.1172500000000003
2004-08,TOCANTINS,2.2672499999999998
2004-09,ACRE,2.5665999999999998
2004-09,ALAGOAS,2.207
2004-09,AMAPA,2.3928
2004-09,AMAZONAS,2.2514
2004-09,BAHIA,2.2266
2004-09,CEARA,2.2643999999999997
2004-09,DISTRITO FEDERAL,2.1334
2004-09,ESPIRITO SANTO,2.1544
2004-09,GOIAS,2.1418
2004-09,MARANHAO,2.1957999999999998
2004-09,MATO GROSSO,2.5564
2004-09,MATO GROSSO DO SUL,2.3346
2004-09,MINAS GERAIS,2.1274
2004-09,PARA,2.4252
